,full_title,latitude,longitude
278,"calle Moncada, 109, San Cristóbal, Madrid",40.3409648,-3.6920084
279,"calle de Paterna, San Cristóbal, Madrid",40.3413681,-3.6840847
280,"calle de Benimamet, 68, San Cristóbal, Madrid",40.3462379,-3.6841597
281,"calle de Rocafort, 16, San Cristóbal, Madrid",40.3412537,-3.6864471
282,"calle de Godella, 160, San Cristóbal, Madrid",40.3431721,-3.6890907
283,"calle de la Unanimidad, 51, Los Rosales, Madrid",40.3588758,-3.6851757
284,"calle Moncada, 107, San Cristóbal, Madrid",40.3409648,-3.6920084
285,"calle Anoeta, 26, Los Ángeles, Madrid",40.352946,-3.6997151734920153
286,"calle Uranio, 20, Butarque, Madrid",40.3548912,-3.6811226
287,"calle Doña Francisquita, 3, Los Ángeles, Madrid",40.3555209,-3.6983782499979423
288,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
289,"calle Moncada, San Cristóbal, Madrid",40.3409648,-3.6920084
290,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
291,"calle del Talco, San Andrés, Madrid",40.3469016,-3.7146529
292,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
293,"paseo de Alberto Palacios, San Andrés, Madrid",40.3437576,-3.7142445
294,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
295,"calle de la del Manojo de Rosas, 49 -47, Los Ángeles, Madrid",40.3537843,-3.6993294
296,"calle San Luciano, 9, Los Ángeles, Madrid",40.363688,-3.6982434
297,"calle de la Unanimidad, 55, Los Rosales, Madrid",40.3588125,-3.6851713
298,"calle de la unanimidad, 45, Los Rosales, Madrid",40.3591534,-3.6847879
299,"calle del Consenso, 6, Los Rosales, Madrid",40.3599022,-3.6862745
300,"calle Burjasot, 6, San Cristóbal, Madrid",40.3444808,-3.6870123
301,"avenida de la Verbena de la Paloma, 41, Los Ángeles, Madrid",40.356896199999994,-3.695436849999999
302,"avenida de la Verbena de la Paloma, 26, Los Ángeles, Madrid",40.35698875,-3.6962087814514426
303,"calle Augustóbriga, 9, Los Rosales, Madrid",40.3594429,-3.6828957
304,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
305,"calle Santa Florencia, 21, Los Rosales, Madrid",40.3484493,-3.6908676
306,"calle de Sáhara, 100, Los Rosales, Madrid",40.3530356,-3.6924521
307,"calle Arechavaleta, Los Ángeles, Madrid",40.3525024,-3.6969414
308,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
309,"calle de Juan José Martínez Seco, Los Rosales, Madrid",40.3516003,-3.6926224
310,"calle Moncada, 99, San Cristóbal, Madrid",40.3409648,-3.6920084
311,"GOMEZ ACEBO, San Andrés, Madrid",40.3428357,-3.7077693
312,"calle de Beniferri, San Cristóbal, Madrid",40.3446825,-3.690072
313,"calle Doctor Criado, San Andrés, Madrid",40.3480362,-3.704456
314,"calle de Godella, San Cristóbal, Madrid",40.3405118,-3.6881634
315,"calle Vicente Carballal, 9, Butarque, Madrid",40.351853,-3.6824616
316,"calle de Godella, San Cristóbal, Madrid",40.3405118,-3.6881634
317,"JOSÉ DEL PINO, Los Rosales, Madrid",40.3508603,-3.6896357
318,"Paterna, San Cristóbal, Madrid",40.3413681,-3.6840847
319,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
320,"calle Euskalduna, 1, Butarque, Madrid",40.3560432,-3.6820183
321,"calle de Anoeta, 42, Los Ángeles, Madrid",40.352366849999996,-3.700761727021405
322,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
323,"calle Diamante, 68, Los Rosales, Madrid",40.3535366,-3.6864323
324,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
325,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
326,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
327,"calle Calcio, 20, Butarque, Madrid",40.3507213,-3.6791018
328,"azufre, Los Rosales, Madrid",40.349198,-3.6857459
329,"calle San Macario, 8, Los Rosales, Madrid",40.3525934,-3.6901698
330,"calle de Getafe, San Andrés, Madrid",40.2825142,-3.7878868
331,"paseo de Alberto Palacios, San Andrés, Madrid",40.3437576,-3.7142445
332,"calle Limonita, 5, Butarque, Madrid",40.3439468,-3.6759839
333,"calle Alberto Palacios, San Andrés, Madrid",40.3430924,-3.7125324
334,"plaza Pinazo, 14, San Cristóbal, Madrid",40.3442088,-3.6917032
335,"calle Miguel Solas, Butarque, Madrid",40.35185775,-3.6781395344116916
336,"avenida de los Rosales, 62, Butarque, Madrid",40.3568825,-3.6814776
337,"calle Grazia Deledda, 9, Los Rosales, Madrid",40.3577819,-3.6835733
338,"calle de la del Manojo de Rosas, 65 -69, Los Ángeles, Madrid",40.3537843,-3.6993294
339,"Flora Tristán, 6, Los Rosales, Madrid",40.3570425,-3.685489
340,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
341,"calle de Godella, San Cristóbal, Madrid",40.3405118,-3.6881634
342,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
343,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
344,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
